mes,codigo_vehiculo,placas,viajes,timbradas,timbradas_real,bruto,anticipo,factura,ahorro,neto
2026-04,1024,LJO714,3,425.0,432.0,1572500.0,0.0,0.0,0.0,1572500.0
2026-04,1025,LJO715,7,896.0,908.0,3315200.0,0.0,0.0,0.0,3315200.0
2026-04,1055,LJO698,3,386.0,394.0,1428200.0,0.0,0.0,0.0,1428200.0
2026-04,1056,LJO699,3,318.0,323.0,1176600.0,0.0,0.0,0.0,1176600.0
2026-04,1057,LJO700,3,259.0,273.0,958300.0,0.0,0.0,0.0,958300.0
2026-05,1022,LJO712,102,10449.0,10933.0,38758100.0,0.0,0.0,0.0,38758100.0
2026-05,1023,LJO713,6,340.0,361.0,1286500.0,0.0,0.0,0.0,1286500.0
2026-05,1024,LJO714,97,9004.0,9109.0,33420000.0,0.0,0.0,0.0,33420000.0
2026-05,1025,LJO715,83,7960.0,8061.0,29543500.0,0.0,0.0,0.0,29543500.0
2026-05,1026,LJO716,55,5001.0,5059.0,18525300.0,0.0,0.0,0.0,18525300.0
2026-05,1027,LJO845,39,3236.0,3522.0,12013500.0,0.0,0.0,0.0,12013500.0
2026-05,1028,LJO711,9,774.0,784.0,2892300.0,0.0,0.0,0.0,2892300.0
2026-05,1034,LJO844,35,2947.0,3201.0,10930800.0,0.0,0.0,0.0,10930800.0
2026-05,1055,LJO698,80,8271.0,8761.0,30666000.0,0.0,0.0,0.0,30666000.0
2026-05,1056,LJO699,81,7545.0,7869.0,27956500.0,0.0,0.0,0.0,27956500.0
2026-05,1057,LJO700,67,6327.0,6490.0,23435900.0,0.0,0.0,0.0,23435900.0
2026-06,1022,LJO712,47,4551.0,4627.0,16875800.0,0.0,0.0,0.0,16875800.0
2026-06,1023,LJO713,45,3963.0,4302.0,14706700.0,0.0,0.0,0.0,14706700.0
2026-06,1024,LJO714,46,4683.0,4740.0,17351300.0,0.0,0.0,0.0,17351300.0
2026-06,1025,LJO715,45,4337.0,4407.0,16078100.0,0.0,0.0,0.0,16078100.0
2026-06,1026,LJO716,44,3883.0,3938.0,14398300.0,0.0,0.0,0.0,14398300.0
2026-06,1027,LJO845,53,4522.0,4602.0,16759400.0,0.0,0.0,0.0,16759400.0
2026-06,1028,LJO711,47,4369.0,4451.0,16204600.0,0.0,0.0,0.0,16204600.0
2026-06,1034,LJO844,27,2117.0,2141.0,7868200.0,0.0,0.0,0.0,7868200.0
2026-06,1035,LJO846,39,3025.0,3048.0,11222000.0,0.0,0.0,0.0,11222000.0
2026-06,1036,LJO841,19,1207.0,1218.0,4491200.0,0.0,0.0,0.0,4491200.0
2026-06,1038,LJO843,20,1591.0,1606.0,5936200.0,0.0,0.0,0.0,5936200.0
2026-06,1055,LJO698,44,4655.0,4742.0,17256500.0,0.0,0.0,0.0,17256500.0
2026-06,1056,LJO699,41,3686.0,3761.0,13663800.0,0.0,0.0,0.0,13663800.0
2026-06,1057,LJO700,44,4336.0,4412.0,16071800.0,0.0,0.0,0.0,16071800.0
